kbo_player_id,player_name,birth_date,professional_entry_year,official_join,official_draft,source_url,level,role,verified_through
51546,정우준,2000-03-17,2021,21롯데,21 롯데 2차 6라운드 51순위,https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=51546,futures,pitching,2025
51551,나승엽,2002-02-15,2021,21롯데,21 롯데 2차 2라운드 11순위,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=51551,first_team,hitting,2025
51551,나승엽,2002-02-15,2021,21롯데,21 롯데 2차 2라운드 11순위,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=51551,futures,hitting,2025
51592,이병준,2002-05-28,2021,25롯데,21 롯데 2차 7라운드 61순위,https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=51592,first_team,pitching,2025
51592,이병준,2002-05-28,2021,25롯데,21 롯데 2차 7라운드 61순위,https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=51592,futures,pitching,2025
51594,송재영,2002-06-20,2021,21롯데,21 롯데 2차 4라운드 31순위,https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=51594,first_team,pitching,2025
51594,송재영,2002-06-20,2021,21롯데,21 롯데 2차 4라운드 31순위,https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=51594,futures,pitching,2025
51648,이의리,2002-06-16,2021,21KIA,21 KIA 1차,https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=51648,first_team,pitching,2025
51648,이의리,2002-06-16,2021,21KIA,21 KIA 1차,https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=51648,futures,pitching,2025
51715,김기중,2002-11-16,2021,21한화,21 한화 2차 1라운드 2순위,https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=51715,first_team,pitching,2025
51715,김기중,2002-11-16,2021,21한화,21 한화 2차 1라운드 2순위,https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=51715,futures,pitching,2025
51761,배동현,1998-03-16,2021,21한화,21 한화 2차 5라운드 42순위,https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=51761,first_team,pitching,2025
51761,배동현,1998-03-16,2021,21한화,21 한화 2차 5라운드 42순위,https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=51761,futures,pitching,2025
51762,장규현,2002-06-28,2021,21한화,21 한화 2차 4라운드 32순위,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=51762,first_team,hitting,2025
51762,장규현,2002-06-28,2021,21한화,21 한화 2차 4라운드 32순위,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=51762,futures,hitting,2025
51764,정민규,2003-01-10,2021,21한화,21 한화 1차,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=51764,first_team,hitting,2025
51764,정민규,2003-01-10,2021,21한화,21 한화 1차,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=51764,futures,hitting,2025
51860,박정빈,2002-06-14,2021,25SSG,21 SK 2차 5라운드 48순위,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=51860,first_team,hitting,2025
51860,박정빈,2002-06-14,2021,25SSG,21 SK 2차 5라운드 48순위,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=51860,futures,hitting,2025
51865,조형우,2002-04-04,2021,21SK,21 SK 2차 1라운드 8순위,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=51865,first_team,hitting,2025
51865,조형우,2002-04-04,2021,21SK,21 SK 2차 1라운드 8순위,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=51865,futures,hitting,2025
51867,김건우,2002-07-12,2021,21SK,21 SK 1차,https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=51867,first_team,pitching,2025
51867,김건우,2002-07-12,2021,21SK,21 SK 1차,https://www.koreabaseball.com/Futures/Player/PitcherTotal.aspx?playerId=51867,futures,pitching,2025
51868,고명준,2002-07-08,2021,21SK,21 SK 2차 2라운드 18순위,https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=51868,first_team,hitting,2025
51868,고명준,2002-07-08,2021,21SK,21 SK 2차 2라운드 18순위,https://www.koreabaseball.com/Futures/Player/HitterTotal.aspx?playerId=51868,futures,hitting,2025
